Complexity,Loss,Equation
1,2.0506463,"70.58"
4,0.2101503,"70.37821 - log10(x0)"
6,0.15558735,"(58.40886 - log10(x0)) * 1.2042184"
7,0.0894766,"(3.953042 / (x0 + 0.82393956)) + 67.77665"
9,0.0414649,"(exp(x0 / -0.36772913) + 70.02599) - log10(x0)"
11,0.036485188,"(exp((x0 / -0.33799034) - -0.18910941) + 69.97007) - log10(x0)"
12,0.023420932,"(20.682686 - (-22.782106 + (log10(x0) - (x0 * 0.0012529886)))) / 0.6202402"
14,0.00865997,"38.20778 - (((x0 * -0.0031875153) + log10((x0 * x0) - -0.0010328293)) + -31.803177)"
16,0.0050955582,"(((x0 - (((0.0037865352 / x0) - 1.8948185) * log10(x0))) * -0.99716526) + x0) + 70.02813"
20,0.004276832,"x0 + ((x0 + 70.0263) + ((x0 - (log10(x0) * ((1.7510985e-5 / (x0 * x0)) - 0.930034))) * -1.9972516))"
25,0.0032407371,"(39.752117 + (((log10(x0) + log10(x0)) + ((-30.381588 - ((-0.009695621 / x0) - (-0.0037766078 / (x0 + -0.26827338)))) + x0)) * -0.99688715)) + x0"
27,0.0030871707,"((((x0 + -30.437824) + ((log10(x0) - ((-0.010743645 / x0) - (0.1011729 / (x0 - (-0.050970703 / x0))))) + log10(x0))) * -0.9969911) + x0) + 39.808216"
29,0.0019300567,"(x0 + ((((x0 + (log10(x0) - ((-0.010298601 / x0) - (0.014629208 / ((x0 - (-0.053326104 / x0)) + -0.40518352))))) + -30.405972) + log10(x0)) * -0.9969326)) + 39.776115"
